Gene name,Gene type,Chromosome/scaffold name,Strand,Transcript count
AC002401.3,lncRNA,17,-1,1
AC002401.2,lncRNA,17,-1,1
SAMD14,protein_coding,17,-1,10
PPP1R9B,protein_coding,17,-1,2
AC002401.1,lncRNA,17,1,1
AC015909.2,lncRNA,17,-1,1
AC015909.3,lncRNA,17,-1,1
SGCA,protein_coding,17,1,11
H1-9P,transcribed_unitary_pseudogene,17,-1,2
COL1A1,protein_coding,17,-1,13
AC015909.1,lncRNA,17,1,11
AC015909.4,lncRNA,17,-1,1
SUMO2P7,processed_pseudogene,17,1,1
TMEM92,protein_coding,17,1,3
TMEM92-AS1,lncRNA,17,-1,1
XYLT2,protein_coding,17,1,7
AC015909.5,TEC,17,-1,1
MRPL27,protein_coding,17,-1,7
EME1,protein_coding,17,1,10
LRRC59,protein_coding,17,-1,3
Y_RNA,misc_RNA,17,-1,1
AC004707.1,lncRNA,17,1,1
ACSF2,protein_coding,17,1,25
MRPS21P9,processed_pseudogene,17,-1,1
CHAD,protein_coding,17,-1,3
AC021491.4,lncRNA,17,1,1
RSAD1,protein_coding,17,1,8
AC021491.1,lncRNA,17,-1,1
MYCBPAP,protein_coding,17,1,15
AC021491.2,lncRNA,17,-1,3
EPN3,protein_coding,17,1,18
SPATA20,protein_coding,17,1,28
CACNA1G-AS1,lncRNA,17,-1,3
CACNA1G,protein_coding,17,1,34
AC021491.3,lncRNA,17,-1,1
AC004590.1,lncRNA,17,-1,1
ABCC3,protein_coding,17,1,18
ANKRD40,protein_coding,17,-1,3
AC005921.2,lncRNA,17,1,1
Y_RNA,misc_RNA,17,1,1
LUC7L3,protein_coding,17,1,23
AC005921.3,TEC,17,1,1
ANKRD40CL,protein_coding,17,-1,6
MIR8059,miRNA,17,1,1
AC005921.4,lncRNA,17,1,1
AC005921.1,processed_pseudogene,17,-1,1
WFIKKN2,protein_coding,17,1,2
AC091062.1,lncRNA,17,-1,1
RPL5P33,processed_pseudogene,17,1,1
TOB1,protein_coding,17,-1,3
TOB1-AS1,lncRNA,17,1,5
AC005920.4,lncRNA,17,-1,1
AC005920.1,lncRNA,17,-1,1
AC005920.3,lncRNA,17,1,2
SPAG9,protein_coding,17,-1,22
AC005920.2,lncRNA,17,1,1
NME1,protein_coding,17,1,10
NME1-NME2,protein_coding,17,1,3
NME2,protein_coding,17,1,9
MBTD1,protein_coding,17,-1,7
AC005839.1,TEC,17,-1,1
AC006141.1,lncRNA,17,-1,1
UTP18,protein_coding,17,1,7
LINC02071,lncRNA,17,-1,2
AC005823.2,lncRNA,17,1,1
AC005823.1,lncRNA,17,1,1
LINC02073,lncRNA,17,1,9
RPL7P48,processed_pseudogene,17,-1,1
CA10,protein_coding,17,-1,9
AC002090.1,TEC,17,-1,1
LINC01982,lncRNA,17,1,1
LINC02089,lncRNA,17,1,1
LINC02876,lncRNA,17,1,2
MTCO1P40,processed_pseudogene,17,1,1
AC034268.2,lncRNA,17,-1,2
AC005341.1,processed_pseudogene,17,-1,1
AC090079.1,processed_pseudogene,17,1,1
AC090079.2,processed_pseudogene,17,1,1
AC034268.1,processed_pseudogene,17,-1,1
RPS2P48,processed_pseudogene,17,-1,1
KIF2B,protein_coding,17,1,1
AC023934.1,processed_pseudogene,17,1,1
ISCA1P3,processed_pseudogene,17,1,1
AC015943.1,lncRNA,17,-1,1
AC005951.1,processed_pseudogene,17,1,1
ARL2BPP8,processed_pseudogene,17,-1,1
RN7SKP14,misc_RNA,17,1,1
TOM1L1,protein_coding,17,1,23
COX11,protein_coding,17,-1,9
AC007485.2,TEC,17,-1,1
AC007485.1,lncRNA,17,1,1
STXBP4,protein_coding,17,1,8
HLF,protein_coding,17,1,11
AC007638.2,lncRNA,17,-1,1
AC007638.1,lncRNA,17,-1,1
MMD,protein_coding,17,-1,4
SMIM36,protein_coding,17,-1,3
AC105021.1,transcribed_processed_pseudogene,17,-1,2
GARS1P1,processed_pseudogene,17,-1,1
RNU6-1249P,snRNA,17,1,1
TMEM100,protein_coding,17,-1,6
PCTP,protein_coding,17,1,8
AC090618.1,lncRNA,17,-1,1
ANKFN1,protein_coding,17,1,10
AC006600.1,processed_pseudogene,17,1,1
AC006600.2,TEC,17,1,1
RPL39P33,processed_pseudogene,17,1,1
NOG,protein_coding,17,1,1
C17orf67,protein_coding,17,-1,3
AC106858.1,lncRNA,17,-1,1
DGKE,protein_coding,17,1,6
TRIM25,protein_coding,17,-1,10
RNU6-1158P,snRNA,17,1,1
AC015912.2,processed_pseudogene,17,-1,1
AC015912.1,lncRNA,17,1,1
MIR3614,miRNA,17,-1,1
AC015912.3,lncRNA,17,1,1
COIL,protein_coding,17,-1,2
AC004584.1,lncRNA,17,1,1
AC004584.2,processed_pseudogene,17,1,1
SCPEP1,protein_coding,17,1,16
AC004584.3,lncRNA,17,1,1
RNF126P1,transcribed_processed_pseudogene,17,1,2
AC007114.1,lncRNA,17,-1,3
AKAP1,protein_coding,17,1,19
AC007114.2,lncRNA,17,-1,1
AC003950.1,lncRNA,17,-1,1
AC091181.2,lncRNA,17,-1,1
MSI2,protein_coding,17,1,31
AC091181.1,TEC,17,1,1
AC015883.1,TEC,17,1,1
AC007431.2,lncRNA,17,-1,1
AC007431.3,TEC,17,1,1
AC007431.1,lncRNA,17,-1,1
RN7SL449P,misc_RNA,17,1,1
RNU7-134P,snRNA,17,-1,1
CCDC182,protein_coding,17,-1,1
AC015845.2,lncRNA,17,-1,2
RN7SKP94,misc_RNA,17,1,1
MRPS23,protein_coding,17,-1,4
CUEDC1,protein_coding,17,-1,13
AC015845.1,lncRNA,17,1,2
AC015813.4,lncRNA,17,1,1
VEZF1,protein_coding,17,-1,4
AC015813.7,TEC,17,1,1
AC015813.2,protein_coding,17,-1,2
AC015813.1,lncRNA,17,-1,3
SRSF1,protein_coding,17,-1,9
AC015813.5,TEC,17,1,1
AC015813.8,lncRNA,17,-1,1
AC015813.3,lncRNA,17,-1,1
DYNLL2,protein_coding,17,1,1
AC015813.6,TEC,17,1,1
OR4D1,protein_coding,17,1,2
MSX2P1,processed_pseudogene,17,1,1
OR4D2,protein_coding,17,1,2
EPX,protein_coding,17,1,1
AC005962.1,lncRNA,17,-1,1
MKS1,protein_coding,17,-1,13
LPO,protein_coding,17,1,11
AC005962.2,lncRNA,17,1,2
AC004687.3,lncRNA,17,-1,1
MPO,protein_coding,17,-1,5
TSPOAP1,protein_coding,17,-1,11
TSPOAP1-AS1,lncRNA,17,1,13
AC004687.1,lncRNA,17,-1,1
MIR142,miRNA,17,-1,1
MIR4736,miRNA,17,-1,1
SUPT4H1,protein_coding,17,-1,7
AC004687.2,protein_coding,17,-1,1
RNF43,protein_coding,17,-1,8
HSF5,protein_coding,17,-1,1
SETP3,processed_pseudogene,17,-1,1
MTMR4,protein_coding,17,-1,10
SEPTIN4-AS1,lncRNA,17,1,3
SEPTIN4,protein_coding,17,-1,33
TEX14,protein_coding,17,-1,6
U3,snoRNA,17,-1,1
AC011195.2,protein_coding,17,-1,1
RNU1-108P,snRNA,17,-1,1
AC011195.1,processed_pseudogene,17,1,1
RNU1-52P,snRNA,17,-1,1
RNVU1-34,snRNA,17,-1,1
RAD51C,protein_coding,17,1,18
AC025521.1,lncRNA,17,1,1
PPM1E,protein_coding,17,1,1
Metazoa_SRP,misc_RNA,17,-1,1
RNU6-518P,snRNA,17,1,1
AC100832.1,processed_pseudogene,17,1,1
Metazoa_SRP,misc_RNA,17,1,1
AC100832.2,lncRNA,17,1,1
TRIM37,protein_coding,17,-1,14
RN7SL716P,misc_RNA,17,1,1
AC099850.1,lncRNA,17,1,1
SKA2,protein_coding,17,-1,10
RNU2-58P,snRNA,17,-1,1
MIR454,miRNA,17,-1,1
MIR301A,miRNA,17,-1,1
PRR11,protein_coding,17,1,9
SPDYE22P,unprocessed_pseudogene,17,-1,1
AC099850.2,protein_coding,17,1,1
AC099850.3,lncRNA,17,-1,1
SMG8,protein_coding,17,1,6
GDPD1,protein_coding,17,1,7
Y_RNA,misc_RNA,17,1,1
SNRPGP17,processed_pseudogene,17,1,1
YPEL2,protein_coding,17,1,6
AC091059.2,TEC,17,1,1
MIR4729,miRNA,17,1,1
AC091059.1,lncRNA,17,-1,1
LINC01476,lncRNA,17,-1,8
RNU4-13P,snRNA,17,-1,1
DHX40,protein_coding,17,1,10
AC091271.1,lncRNA,17,-1,1
CLTC,protein_coding,17,1,15
PTRH2,protein_coding,17,-1,5
VMP1,protein_coding,17,1,17
AC040904.1,lncRNA,17,1,1
MIR21,miRNA,17,1,1
RNU6-450P,snRNA,17,-1,1
TUBD1,protein_coding,17,-1,16
NDUFB8P2,processed_pseudogene,17,1,1
RPS6KB1,protein_coding,17,1,12
RPS29P21,processed_pseudogene,17,1,1
AC005702.1,protein_coding,17,1,1
RNFT1,protein_coding,17,-1,9
TBC1D3P1-DHX40P1,lncRNA,17,-1,1
RNFT1-DT,lncRNA,17,1,2
DHX40P1,transcribed_unprocessed_pseudogene,17,-1,1
TBC1D3P1,transcribed_unprocessed_pseudogene,17,-1,1
AC005702.5,lncRNA,17,1,1
AC005702.4,unprocessed_pseudogene,17,1,1
AC005702.3,unprocessed_pseudogene,17,1,1
HEATR6,protein_coding,17,-1,12
MIR4737,miRNA,17,-1,1
AC005702.2,processed_pseudogene,17,-1,1
AC025048.4,lncRNA,17,1,1
WFDC21P,transcribed_unitary_pseudogene,17,-1,9
AC025048.6,transcribed_processed_pseudogene,17,-1,2
AC025048.3,unprocessed_pseudogene,17,-1,1
AC025048.2,lncRNA,17,-1,19
AC025048.5,unprocessed_pseudogene,17,-1,1
AC025048.7,lncRNA,17,1,1
AC025048.1,lncRNA,17,-1,1
CA4,protein_coding,17,1,6
USP32,protein_coding,17,-1,15
SCARNA20,scaRNA,17,-1,1
AC104763.1,processed_pseudogene,17,-1,1
AC104763.2,unprocessed_pseudogene,17,1,1
H3P42,processed_pseudogene,17,1,1
C17orf64,protein_coding,17,1,4
RPL12P38,transcribed_processed_pseudogene,17,-1,2
APPBP2,protein_coding,17,-1,6
AC011921.3,processed_pseudogene,17,1,1
AC011921.1,lncRNA,17,1,3
AC011921.2,processed_pseudogene,17,-1,1
LINC01999,lncRNA,17,1,1
RPSAP66,processed_pseudogene,17,-1,1
PPM1D,protein_coding,17,1,4
RNU6-623P,snRNA,17,-1,1
BCAS3,protein_coding,17,1,34
RN7SL606P,misc_RNA,17,1,1
AC110602.1,processed_pseudogene,17,-1,1
Y_RNA,misc_RNA,17,-1,1
KRT18P61,processed_pseudogene,17,1,1
HMGN1P28,processed_pseudogene,17,1,1
RN7SL448P,misc_RNA,17,1,1
AC005884.1,lncRNA,17,-1,1
AC005884.2,lncRNA,17,-1,1
RPL23AP74,processed_pseudogene,17,1,1
AC005856.1,lncRNA,17,-1,1
AC005746.3,lncRNA,17,-1,1
AC005746.2,lncRNA,17,-1,1
AC005746.1,lncRNA,17,1,2
TBX2-AS1,lncRNA,17,-1,6
TBX2,protein_coding,17,1,4
LINC02875,lncRNA,17,1,1
TBX4,protein_coding,17,1,8
AC005901.1,lncRNA,17,-1,1
NACA2,protein_coding,17,-1,1
BRIP1,protein_coding,17,-1,6
INTS2,protein_coding,17,-1,10
Y_RNA,misc_RNA,17,-1,1
MED13,protein_coding,17,-1,6
AC018628.1,TEC,17,-1,1
RN7SL800P,misc_RNA,17,-1,1
AC018628.2,lncRNA,17,1,1
Y_RNA,misc_RNA,17,1,1
Y_RNA,misc_RNA,17,1,1
POLRMTP1,processed_pseudogene,17,-1,1
AC053481.3,unprocessed_pseudogene,17,-1,1
AC053481.4,unprocessed_pseudogene,17,1,1
TBC1D3P2,transcribed_unprocessed_pseudogene,17,-1,3
AC053481.2,transcribed_unprocessed_pseudogene,17,-1,1
AC053481.1,processed_pseudogene,17,1,1
EFCAB3,protein_coding,17,1,6
AC008026.2,processed_pseudogene,17,1,1
RNU7-52P,snRNA,17,1,1
RPS23P7,processed_pseudogene,17,1,1
METTL2A,protein_coding,17,1,4
TLK2,protein_coding,17,1,18
AC008026.1,processed_pseudogene,17,-1,1
AC008026.3,lncRNA,17,1,1
AC080038.2,lncRNA,17,1,1
AC080038.1,lncRNA,17,-1,1
MRC2,protein_coding,17,1,7
Y_RNA,misc_RNA,17,-1,1
AC080038.3,TEC,17,-1,1
RNU6-446P,snRNA,17,1,1
AC005821.1,lncRNA,17,1,7
MARCHF10,protein_coding,17,-1,10
AC005821.2,lncRNA,17,1,1
MARCHF10-DT,lncRNA,17,1,1
PRELID3BP3,processed_pseudogene,17,1,1
AC005972.3,lncRNA,17,-1,3
MIR633,miRNA,17,1,1
TRMT112P3,transcribed_processed_pseudogene,17,-1,1
AC005972.1,processed_pseudogene,17,-1,1
AC005972.2,processed_pseudogene,17,-1,1
TANC2,protein_coding,17,1,10
AC006270.2,processed_pseudogene,17,-1,1
AC006270.1,lncRNA,17,-1,1
DNAJB6P8,transcribed_processed_pseudogene,17,1,1
AC015923.1,lncRNA,17,-1,2
AC005828.2,lncRNA,17,-1,1
AC005828.7,transcribed_processed_pseudogene,17,-1,1
AC005828.1,lncRNA,17,-1,2
AC005828.3,lncRNA,17,-1,1
AC005828.6,unprocessed_pseudogene,17,1,1
AC005828.4,lncRNA,17,-1,1
CYB561,protein_coding,17,-1,21
AC005828.5,lncRNA,17,1,1
PPIAP55,processed_pseudogene,17,1,1
ACE,protein_coding,17,1,22
AC113554.1,protein_coding,17,1,1
ACE3P,transcribed_unprocessed_pseudogene,17,1,1
KCNH6,protein_coding,17,1,6
DCAF7,protein_coding,17,1,6
RNU6-288P,snRNA,17,-1,1
TACO1,protein_coding,17,1,2
AC046185.2,processed_pseudogene,17,-1,1
MAP3K3,protein_coding,17,1,11
EEF1DP7,transcribed_processed_pseudogene,17,1,1
STRADA,protein_coding,17,-1,54
LIMD2,protein_coding,17,-1,12
AC046185.3,TEC,17,1,1
AC046185.1,protein_coding,17,-1,1
CCDC47,protein_coding,17,-1,7
DDX42,protein_coding,17,1,19
FTSJ3,protein_coding,17,-1,16
PSMC5,protein_coding,17,1,21
SMARCD2,protein_coding,17,-1,12
TCAM1P,transcribed_unitary_pseudogene,17,1,7
CSH2,protein_coding,17,-1,7
GH2,protein_coding,17,-1,5
AC040958.1,unprocessed_pseudogene,17,1,1
CSH1,protein_coding,17,-1,6
AC127029.1,unprocessed_pseudogene,17,1,1
CSHL1,protein_coding,17,-1,10
GH1,protein_coding,17,-1,6
AC127029.3,protein_coding,17,-1,1
CD79B,protein_coding,17,-1,6
SCN4A,protein_coding,17,-1,3
AC127029.2,lncRNA,17,-1,1
PRR29-AS1,lncRNA,17,-1,4
PRR29,protein_coding,17,1,10
ICAM2,protein_coding,17,-1,16
ERN1,protein_coding,17,-1,8
AC005803.1,lncRNA,17,1,1
SNHG25,lncRNA,17,1,2
SNORD104,snoRNA,17,1,1
AC025362.1,snoRNA,17,1,1
SNORA50C,snoRNA,17,1,1
TEX2,protein_coding,17,-1,10
RPL31P57,processed_pseudogene,17,-1,1
PECAM1,protein_coding,17,-1,9
Y_RNA,misc_RNA,17,-1,1
AC234063.1,miRNA,17,-1,1
MILR1,protein_coding,17,1,7
POLG2,protein_coding,17,-1,12
ATP5MFP4,processed_pseudogene,17,1,1
DDX5,protein_coding,17,-1,35
MIR3064,miRNA,17,-1,1
MIR5047,miRNA,17,-1,1
CEP95,protein_coding,17,1,19
SMURF2,protein_coding,17,-1,7
AC009994.1,processed_pseudogene,17,1,1
MICOS10P2,processed_pseudogene,17,-1,1
ARHGAP27P1-BPTFP1-KPNA2P3,lncRNA,17,-1,2
KPNA2P3,transcribed_unprocessed_pseudogene,17,-1,1
AC132812.1,unprocessed_pseudogene,17,1,1
BPTFP1,unprocessed_pseudogene,17,-1,1
AC103810.3,unprocessed_pseudogene,17,-1,1
PLEKHM1P1,transcribed_unprocessed_pseudogene,17,-1,6
MIR6080,miRNA,17,1,1
MIR4315-2,miRNA,17,-1,1
RNU7-115P,snRNA,17,-1,1
AC103810.9,unprocessed_pseudogene,17,1,1
LRRC37A3,protein_coding,17,-1,12
RN7SL404P,misc_RNA,17,-1,1
AC103810.6,processed_pseudogene,17,1,1
AC103810.7,transcribed_processed_pseudogene,17,1,1
AC103810.2,lncRNA,17,1,3
AC103810.5,lncRNA,17,1,1
RDM1P4,transcribed_processed_pseudogene,17,-1,1
AC103810.1,transcribed_unprocessed_pseudogene,17,1,3
AC103810.4,unprocessed_pseudogene,17,-1,1
AC037487.4,lncRNA,17,1,1
AC103810.8,transcribed_unprocessed_pseudogene,17,1,1
AC037487.1,lncRNA,17,1,1
AC037487.3,processed_pseudogene,17,-1,1
SLC16A6P1,transcribed_unprocessed_pseudogene,17,1,1
AMZ2P1,transcribed_unprocessed_pseudogene,17,-1,3
GNA13,protein_coding,17,-1,2
AC037487.2,lncRNA,17,1,1
RGS9,protein_coding,17,1,12
AC060771.1,processed_pseudogene,17,-1,1
LINC02563,lncRNA,17,1,1
AXIN2,protein_coding,17,-1,9
AC004805.1,protein_coding,17,-1,1
CEP112,protein_coding,17,-1,20
AC004805.3,processed_pseudogene,17,1,1
AC004805.2,processed_pseudogene,17,1,1
PSMD7P1,processed_pseudogene,17,1,1
APOH,protein_coding,17,-1,4
RNA5SP444,rRNA_pseudogene,17,1,1
AC009452.1,unprocessed_pseudogene,17,1,1
PRKCA,protein_coding,17,1,5
RN7SL735P,misc_RNA,17,1,1
PRKCA-AS1,lncRNA,17,-1,3
RNU6-928P,snRNA,17,1,1
RNA5SP445,rRNA_pseudogene,17,1,1
AC006947.1,lncRNA,17,1,1
MIR634,miRNA,17,1,1
CACNG5,protein_coding,17,1,3
RNA5SP446,rRNA_pseudogene,17,1,1
CACNG4,protein_coding,17,1,1
AC005544.1,lncRNA,17,-1,1
AC005544.2,lncRNA,17,-1,1
CACNG1,protein_coding,17,1,1
HELZ,protein_coding,17,-1,12
AC007448.3,lncRNA,17,1,1
RPL36AP48,processed_pseudogene,17,1,1
AC007448.5,lncRNA,17,1,1
AC007448.4,lncRNA,17,1,1
RNA5SP447,rRNA_pseudogene,17,1,1
AC007448.1,snoRNA,17,1,1
AC007448.2,processed_pseudogene,17,-1,1
PSMD12,protein_coding,17,-1,8
PITPNC1,protein_coding,17,1,7
Y_RNA,misc_RNA,17,-1,1
RN7SL756P,misc_RNA,17,-1,1
MIR548D2,miRNA,17,-1,1
MIR548AA2,miRNA,17,1,1
AC110921.1,lncRNA,17,1,1
AC079331.2,TEC,17,1,1
AC079331.1,TEC,17,1,1
AC079331.3,lncRNA,17,-1,1
NOL11,protein_coding,17,1,11
SNORA38B,snoRNA,17,1,1
RPSAP67,unprocessed_pseudogene,17,-1,1
RPL17P41,processed_pseudogene,17,1,1
BPTF,protein_coding,17,1,19
AC134407.1,lncRNA,17,-1,1
AC134407.2,TEC,17,1,1
AC134407.3,TEC,17,1,1
RN7SL622P,misc_RNA,17,1,1
C17orf58,protein_coding,17,-1,4
KPNA2,protein_coding,17,1,7
FBXO36P1,processed_pseudogene,17,1,1
AC145343.1,lncRNA,17,-1,3
LINC00674,transcribed_unprocessed_pseudogene,17,1,2
LRRC37A16P,transcribed_unprocessed_pseudogene,17,-1,3
AC005332.6,lncRNA,17,1,1
AC005332.3,lncRNA,17,1,1
AC005332.5,lncRNA,17,1,1
SH3GL1P3,processed_pseudogene,17,-1,1
RDM1P3,unprocessed_pseudogene,17,-1,1
AC005332.7,lncRNA,17,1,1
AC005332.2,lncRNA,17,1,1
ARHGAP27P2,processed_pseudogene,17,1,1
AC005332.4,transcribed_unprocessed_pseudogene,17,1,2
AMZ2,protein_coding,17,1,20
AC005332.1,lncRNA,17,-1,1
ARSG,protein_coding,17,1,9
SLC16A6,protein_coding,17,-1,5
AC007780.1,lncRNA,17,1,4
WIPI1,protein_coding,17,-1,11
MIR635,miRNA,17,-1,1
PRKAR1A,protein_coding,17,1,21
FAM20A,protein_coding,17,-1,7
AC079210.1,lncRNA,17,1,1
LINC01482,lncRNA,17,1,4
AC011591.2,unitary_pseudogene,17,-1,1
AC011591.1,lncRNA,17,-1,1
ABCA8,protein_coding,17,-1,15
ABCA9-AS1,lncRNA,17,1,7
ABCA9,protein_coding,17,-1,8
ABCA6,protein_coding,17,-1,7
SEC24AP1,processed_pseudogene,17,-1,1
MIR4524B,miRNA,17,1,1
MIR4524A,miRNA,17,-1,1
ABCA10,protein_coding,17,-1,12
PRO1804,TEC,17,-1,1
AC005495.1,lncRNA,17,1,1
ABCA5,protein_coding,17,-1,14
SNRPGP4,processed_pseudogene,17,1,1
AC115085.1,snoRNA,17,-1,1
MAP2K6,protein_coding,17,1,9
AC015920.1,TEC,17,1,1
AC002546.1,lncRNA,17,-1,1
LINC01483,lncRNA,17,1,7
AC002545.1,processed_pseudogene,17,-1,1
LINC01497,lncRNA,17,1,5
Y_RNA,misc_RNA,17,1,1
AC005208.1,lncRNA,17,-1,2
LINC01028,lncRNA,17,1,2
KCNJ16,protein_coding,17,1,11
KCNJ2-AS1,lncRNA,17,-1,1
KCNJ2,protein_coding,17,1,2
CALM2P1,processed_pseudogene,17,1,1
AC011990.1,lncRNA,17,-1,1
AC005771.1,processed_pseudogene,17,-1,1
AC007423.1,lncRNA,17,-1,1
AC005181.1,processed_pseudogene,17,1,1
CASC17,lncRNA,17,-1,14
RNU7-155P,snRNA,17,-1,1
AC118653.1,lncRNA,17,1,2
MYL6P5,processed_pseudogene,17,1,1
AC007432.1,lncRNA,17,-1,1
AC005144.1,lncRNA,17,-1,1
ROCR,lncRNA,17,-1,11
LINC01152,lncRNA,17,1,5
AC007461.1,lncRNA,17,-1,3
SOX9-AS1,lncRNA,17,-1,33
LINC02097,lncRNA,17,1,4
SOX9,protein_coding,17,1,1
LINC00511,lncRNA,17,-1,106
LINC02003,lncRNA,17,1,4
AC007639.1,lncRNA,17,1,1
RPL32P33,processed_pseudogene,17,1,1
AC080037.2,lncRNA,17,1,1
SLC39A11,protein_coding,17,-1,17
RN7SKP180,misc_RNA,17,-1,1
AC080037.1,scaRNA,17,-1,1
AC011120.1,lncRNA,17,1,1
AC025198.1,processed_pseudogene,17,-1,1
POLR3KP2,processed_pseudogene,17,-1,1
AC097641.1,lncRNA,17,1,1
SSTR2,protein_coding,17,1,2
COG1,protein_coding,17,1,10
AC097641.2,lncRNA,17,-1,1
FAM104A,protein_coding,17,-1,7
C17orf80,protein_coding,17,1,9
AC087301.1,lncRNA,17,1,1
CPSF4L,protein_coding,17,-1,2
CDC42EP4,protein_coding,17,-1,9
SDK2,protein_coding,17,-1,5
AC124804.1,lncRNA,17,1,4
AC032019.1,lncRNA,17,1,1
AC032019.2,lncRNA,17,-1,1
AC125421.1,lncRNA,17,1,3
LINC00469,lncRNA,17,-1,4
LINC02092,lncRNA,17,1,9
AC125421.2,lncRNA,17,-1,2
AC137735.1,lncRNA,17,-1,1
AC137735.3,lncRNA,17,1,1
AC137735.2,lncRNA,17,-1,1
LINC02074,lncRNA,17,-1,6
RPL38,protein_coding,17,1,8
MGC16275,lncRNA,17,-1,5
TTYH2,protein_coding,17,1,9
AC100786.1,lncRNA,17,-1,1
DNAI2,protein_coding,17,1,6
AC103809.1,lncRNA,17,-1,1
KIF19,protein_coding,17,1,6
BTBD17,protein_coding,17,-1,1
GPR142,protein_coding,17,1,3
RNA5SP448,rRNA_pseudogene,17,-1,1
GPRC5C,protein_coding,17,1,13
CD300A,protein_coding,17,1,7
CD300LB,protein_coding,17,-1,2
CD300C,protein_coding,17,-1,1
AC079325.1,unprocessed_pseudogene,17,-1,1
CD300H,polymorphic_pseudogene,17,-1,2
CD300LD,protein_coding,17,-1,1
C17orf77,lncRNA,17,1,3
AC064805.1,lncRNA,17,1,3
CD300E,protein_coding,17,-1,2
AC064805.2,lncRNA,17,-1,3
RAB37,protein_coding,17,1,16
CD300LF,protein_coding,17,-1,10
AC016888.1,lncRNA,17,-1,1
MIR3615,miRNA,17,1,1
SLC9A3R1,protein_coding,17,1,5
NAT9,protein_coding,17,-1,29
TMEM104,protein_coding,17,1,7
GRIN2C,protein_coding,17,-1,5
FDXR,protein_coding,17,-1,20
FADS6,protein_coding,17,-1,5
USH1G,protein_coding,17,-1,2
OTOP2,protein_coding,17,1,3
OTOP3,protein_coding,17,1,1
HID1,protein_coding,17,-1,14
HID1-AS1,lncRNA,17,1,1
CDR2L,protein_coding,17,1,1
MRPL58,protein_coding,17,1,4
RNU6-362P,snRNA,17,1,1
KCTD2,protein_coding,17,1,9
ATP5PD,protein_coding,17,-1,5
RN7SL573P,misc_RNA,17,1,1
AC111186.1,processed_pseudogene,17,-1,1
TRIM80P,unitary_pseudogene,17,1,1
SLC16A5,protein_coding,17,1,10
Y_RNA,misc_RNA,17,-1,1
ARMC7,protein_coding,17,1,5
NT5C,protein_coding,17,-1,14
AC022211.4,TEC,17,1,1
JPT1,protein_coding,17,-1,12
AC022211.3,lncRNA,17,-1,1
AC022211.1,lncRNA,17,-1,1
Y_RNA,misc_RNA,17,1,1
SUMO2,protein_coding,17,-1,3
NUP85,protein_coding,17,1,25
GGA3,protein_coding,17,-1,24
MRPS7,protein_coding,17,1,7
MIF4GD,protein_coding,17,-1,15
AC022211.2,lncRNA,17,1,2
SLC25A19,protein_coding,17,-1,15
GRB2,protein_coding,17,-1,12
AC011933.1,processed_pseudogene,17,1,1
AC011933.4,lncRNA,17,1,1
AC011933.2,lncRNA,17,-1,1
AC011933.3,lncRNA,17,1,1
MIR3678,miRNA,17,1,1
RNU6-938P,snRNA,17,-1,1
Y_RNA,misc_RNA,17,1,1
TMEM94,protein_coding,17,1,33
MIR6785,miRNA,17,1,1
CASKIN2,protein_coding,17,-1,7
TSEN54,protein_coding,17,1,11
LLGL2,protein_coding,17,1,22
MYO15B,protein_coding,17,1,36
RECQL5,protein_coding,17,-1,19
SMIM5,protein_coding,17,1,3
SMIM6,protein_coding,17,1,2
SAP30BP,protein_coding,17,1,26
AC087749.2,lncRNA,17,-1,1
AC087749.1,lncRNA,17,-1,2
ITGB4,protein_coding,17,1,13
GALK1,protein_coding,17,-1,9
H3-3B,protein_coding,17,-1,13
MIR4738,miRNA,17,-1,1
UNK,protein_coding,17,1,8
AC087289.1,lncRNA,17,-1,1
UNC13D,protein_coding,17,-1,17
WBP2,protein_coding,17,-1,19
TRIM47,protein_coding,17,-1,7
AC087289.5,lncRNA,17,1,1
TRIM65,protein_coding,17,-1,7
AC087289.2,lncRNA,17,1,1
MRPL38,protein_coding,17,-1,17
AC087289.3,protein_coding,17,-1,3
FBF1,protein_coding,17,-1,12
ACOX1,protein_coding,17,-1,13
AC087289.4,lncRNA,17,1,1
TEN1-CDK3,protein_coding,17,1,3
TEN1,protein_coding,17,1,5
CDK3,protein_coding,17,1,4
EVPL,protein_coding,17,-1,5
SRP68,protein_coding,17,-1,13
ZACN,protein_coding,17,1,6
GALR2,protein_coding,17,1,1
EXOC7,protein_coding,17,-1,21
AC018665.1,TEC,17,1,1
MIR6868,miRNA,17,-1,1
FOXJ1,protein_coding,17,-1,1
RNF157-AS1,lncRNA,17,1,6
RNF157,protein_coding,17,-1,10
ATP5MGP6,processed_pseudogene,17,-1,1
ATF4P3,processed_pseudogene,17,-1,1
UBALD2,protein_coding,17,1,3
QRICH2,protein_coding,17,-1,5
PRPSAP1,protein_coding,17,-1,12
AC090699.1,misc_RNA,17,1,1
RNU6-24P,snRNA,17,1,1
AC090699.2,processed_pseudogene,17,1,1
SPHK1,protein_coding,17,1,10
UBE2O,protein_coding,17,-1,6
RPL7P49,processed_pseudogene,17,-1,1
AANAT,protein_coding,17,1,4
RHBDF2,protein_coding,17,-1,20
CYGB,protein_coding,17,-1,5
PRCD,protein_coding,17,1,13
AC015802.4,lncRNA,17,-1,4
AC015802.3,lncRNA,17,1,1
